first name,last name,nickname,link,height(ft),weight(lb),reach(inch),stance,wins,losses,draws,belt,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc.,TD Def,Sub. Avg
Frankie,Edgar,The Answer,http://ufcstats.com/fighter-details/f2688492b9a525a3,"5' 6""",135 lbs.,"68.0""",Orthodox,23,8,1,0,3.70,39%,2.70,66%,2.28,31%,65%,0.3
Abdul-Kerim,Edilov,,http://ufcstats.com/fighter-details/37e03538c960bac6,"6' 2""",205 lbs.,--,Orthodox,17,4,0,0,10.22,61%,0.13,92%,3.98,100%,0%,2.0
Johnny,Eduardo,,http://ufcstats.com/fighter-details/528c24b99fbaab79,"5' 7""",135 lbs.,"71.0""",Orthodox,28,12,0,0,2.89,38%,3.34,63%,0.00,0%,62%,0.5
Yves,Edwards,,http://ufcstats.com/fighter-details/5f04e3d58d9ce982,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22,1,0,2.91,42%,2.34,66%,0.76,53%,69%,0.7
Justin,Edwards,Fast Eddy,http://ufcstats.com/fighter-details/e56daf7725a0b5ab,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5,0,0,2.68,42%,3.32,51%,2.14,26%,27%,1.0
Leon,Edwards,Rocky,http://ufcstats.com/fighter-details/f1fac969a1d70b08,"6' 2""",170 lbs.,"74.0""",Southpaw,18,3,0,0,2.53,47%,2.05,55%,1.39,31%,70%,0.4
Te,Edwards,,http://ufcstats.com/fighter-details/ef44e4ea9050f2ea,"5' 8""",155 lbs.,"72.0""",Orthodox,6,3,0,0,1.50,41%,4.15,44%,0.72,100%,44%,0.0
Adli,Edwards,,http://ufcstats.com/fighter-details/e6904a03a66e711d,--,145 lbs.,--,,4,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tom,Egan,,http://ufcstats.com/fighter-details/eae4aec1a5a8ff01,"5' 11""",170 lbs.,--,Orthodox,7,5,0,0,0.00,0%,3.91,50%,0.00,0%,28%,0.0
Stephanie,Egger,,http://ufcstats.com/fighter-details/5e6294b37bbef029,"5' 6""",135 lbs.,"68.0""",Orthodox,5,2,0,0,0.67,31%,1.33,52%,1.00,16%,40%,0.0
Justin,Eilers,The Hammer,http://ufcstats.com/fighter-details/27fc9218a3653e3c,"6' 1""",235 lbs.,--,Orthodox,19,7,1,0,2.86,43%,5.66,49%,0.82,25%,50%,0.0
Jon Olav,Einemo,The Viking,http://ufcstats.com/fighter-details/0577808d22dfe79c,"6' 6""",253 lbs.,--,Orthodox,6,3,0,0,2.15,52%,3.05,52%,1.73,55%,43%,0.0
